site_group,obs_class,schema_modality,n_catalog_rows,n_datasets,measurement_years_printed,item_kinds,values_in_corpus,source_ids,scope,locators,sites_detail,cat_ids,vn_ids,usable_for_skru1,status_mix,latent_state_link,confidence,status,notes
Березники/другие участки ВКМ,INSAR,insar,50,45,2018–2022,DATASET:44; METHOD_PROPERTY:3; DESIGN_SPEC:1; DATASET_METADATA:1; CITED_DESCRIPTION:1,TEXT_VALUES:30; FIGURE_READ:9; SPEC_OR_DESCRIPTION_ONLY:5; DESCRIPTION_ONLY:3; FIGURE_VALUES_DIGITIZED_APPROX:2; TABLE_VALUES:1,VKM-SRC-002; VKM-SRC-003; VKM-SRC-004; VKM-SRC-017; VKM-SRC-023,OTHER_VKM_SITE,"VKM-SRC-002 p12 [слайд 12, Рис.32]; VKM-SRC-002 p12 [слайд 12, Рис.33]; VKM-SRC-003 p43 [Рис. 3.2 В, Г]; VKM-SRC-003 p44 [§3.2]; VKM-SRC-003 p44 [§3.2, Рис. 3.3]; VKM-SRC-003 p45 [§3.2, Рис. 3.3]; VKM-SRC-003 p45 [§3.2, Рис. 3.4]; VKM-SRC-003 p47 [§3.2, Рис. 3.5]; VKM-SRC-003 p48 [§3.2 p.48]; VKM-SRC-003 p48 [§3.2 p.48, Рис. 3.6 (first)]; VKM-SRC-003 p49 [§3.2 p.49]; VKM-SRC-003 p51 [§3.2 p.51, Рис. 3.9]; VKM-SRC-003 p53 [§3.2 p.53, Рис. 3.10]; VKM-SRC-003 p53 [§3.2 p.53, Рис. 3.11]; VKM-SRC-003 p54 [§3.2 p.54]; VKM-SRC-003 p55 [§3.2 p.55]; VKM-SRC-003 p56 [§3.2 p.56, Рис. 3.12]; VKM-SRC-003 p56 [§3.2 p.56, Рис. 3.13]; VKM-SRC-003 p58 [§3.3 p.58-61, Рис. 3.14 А-В]; VKM-SRC-003 p61 [§3.3 p.61, Рис. 3.14]; VKM-SRC-003 p63 [§3.3 p.63]; VKM-SRC-003 p70 [§3.5 p.70-71, Рис. 3.20]; VKM-SRC-003 p71 [§3.5 p.71]; VKM-SRC-003 p72 [§3.5 p.72, Рис. 3.22]; VKM-SRC-003 p73 [§3.5 p.73-74, Рис. 3.23-3.24]; VKM-SRC-003 p75 [Выводы по главе 3, p.75]; VKM-SRC-003 p114 [Заключение, п.2]; VKM-SRC-004 p1 [Аннотация]; VKM-SRC-004 p1 [Аннотация]; VKM-SRC-004 p4 [Методика]; VKM-SRC-004 p5 [раздел 'Оценка скорости смещений']; VKM-SRC-004 p5 [Таблица (без номера) 'Даты РСА-съёмк; VKM-SRC-004 p6 [Рис. 1]; VKM-SRC-004 p6 [p.6 text / Рис. 1]; VKM-SRC-004 p7 [p.7 / Рис. 2 вверху]; VKM-SRC-004 p7 [p.7 / Рис. 2 вверху справа]; VKM-SRC-004 p7 [p.7 / Рис. 2 внизу]; VKM-SRC-004 p7 [p.7 / Рис. 2 внизу]; VKM-SRC-004 p8 [Рис. 2]; VKM-SRC-004 p9 [p.9 / Рис. 3 область 5]; VKM-SRC-004 p9 [p.9 / Рис. 3]; VKM-SRC-004 p10 [Рис. 3]; VKM-SRC-004 p9 [p.9 / Рис. 4, Рис. 5]; VKM-SRC-004 p9 [p.9 / Рис. 6, Рис. 7]; VKM-SRC-004 p13 [p.13 / Рис. 8, Рис. 9]; VKM-SRC-004 p15 [Заключение]; VKM-SRC-017 p2 [Введение; [10]]; VKM-SRC-023 p17 [rendered p.17; Рис. 1]; VKM-SRC-003 p62 [§3.3 p.62, Рис. 3.15 А]; VKM-SRC-003 p62 [§3.3 p.62]","UNRESOLVED: заголовок слайда 12 — «застроенная территория СКРУ-1 и СКРУ-2 (Соликамск)», подпись рис. 32 — «территория Бе || UNRESOLVED: заголовок слайда 12 — «застроенная территория СКРУ-1 и СКРУ-2 (Соликамск)», подпись рис. 33 — «территория Бе || Березники, область «А» (контекст БКПРУ-1: солеотвал, провалы над затопленным полем); явно не указано на странице || Березники, область «Б» (Нартовка/Зырянка) — рудник НЕ установлен || другой участок ВКМ || пос. им. Чкалова (Березники) — рудник не установлен",MON-0098; MON-0099; MON-0116; MON-0117; MON-0118; MON-0119; MON-0120; MON-0121; MON-0122; MON-0123; MON-0124; MON-0125; MON-0127; MON-0128; MON-0129; MON-0130; MON-0131; MON-0132; MON-0133; MON-0134; MON-0135; MON-0143; MON-0144; MON-0145; MON-0146; MON-0147; MON-0153; MON-0156; MON-0157; MON-0160; MON-0164; MON-0165; MON-0166; MON-0167; MON-0168; MON-0169; MON-0170; MON-0171; MON-0172; MON-0173; MON-0174; MON-0175; MON-0176; MON-0177; MON-0178; MON-0179; MON-0220; MON-0222; MON-0490; MON-0491,EV-VN-S002-0022; EV-VN-S002-0023; EV-VN-S003-0156; EV-VN-S003-0158; EV-VN-S003-0159; EV-VN-S003-0164; EV-VN-S003-0168; EV-VN-S003-0173; EV-VN-S003-0181; EV-VN-S003-0182; EV-VN-S003-0184; EV-VN-S003-0193; EV-VN-S003-0199; EV-VN-S003-0201; EV-VN-S003-0203; EV-VN-S003-0205; EV-VN-S003-0208; EV-VN-S003-0210; EV-VN-S003-0216; EV-VN-S003-0218; EV-VN-S003-0228; EV-VN-S003-0256; EV-VN-S003-0258; EV-VN-S003-0260; EV-VN-S003-0267; EV-VN-S003-0276; EV-VN-S003-0397; EV-VN-S004-0002; EV-VN-S004-0004; EV-VN-S004-0019; EV-VN-S004-0026; EV-VN-S004-0027; EV-VN-S004-0032; EV-VN-S004-0035; EV-VN-S004-0039; EV-VN-S004-0040; EV-VN-S004-0041; EV-VN-S004-0042; EV-VN-S004-0044; EV-VN-S004-0050; EV-VN-S004-0051; EV-VN-S004-0052; EV-VN-S004-0055; EV-VN-S004-0057; EV-VN-S004-0063; EV-VN-S004-0067; EV-VN-S017-0008; EV-VN-S023-0048; EV-VN-S003-0222; EV-VN-S003-0223,VKM_ANALOGUE_ONLY:42; METHOD/OPERATOR_PRIOR:6; DISCOVERY_ONLY:2,FACT:50,u_LOS = u·ê_LOS относительно опорной точки и первой сцены (пиксель/PS); «субвертикальное» = u_LOS/cosθ при допущении u_h≈0,HIGH:36; MEDIUM:14,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/другие участки ВКМ,LEVELLING,levelling,1,1,2020–2020,DATASET:1,FIGURE_READ:1,VKM-SRC-003,OTHER_VKM_SITE,VKM-SRC-003 p47 [Рис. 3.5],"Березники, область «А» (контекст БКПРУ-1: солеотвал, провалы над затопленным полем); явно не указано на странице",MON-0008,EV-VN-S003-0176,VKM_ANALOGUE_ONLY:1,FACT:1,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),BACKFILL_RECORDS,other,2,0,,SYSTEM_DESCRIPTION:2,SPEC_OR_DESCRIPTION_ONLY:2,VKM-SRC-037; VKM-SRC-040,VKM_REGIONAL,"VKM-SRC-037 p188 [§8.6.7, с.374]; VKM-SRC-040 p144 [§5.4]",ВКМКС (рудник не указан),MON-0445; MON-0446,EV-VN-S037-1073; EV-VN-S040-0371,METHOD/OPERATOR_PRIOR:2,FACT:2,объём/масса/полнота закладки (ВХОД мира: состояние пустот),HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),BOREHOLE_LOGGING,borehole_logging,3,1,,SYSTEM_DESCRIPTION:2; DATASET:1,SPEC_OR_DESCRIPTION_ONLY:2; DESCRIPTION_ONLY:1,VKM-SRC-011; VKM-SRC-030; VKM-SRC-037,VKM_REGIONAL,"VKM-SRC-011 p18 [§1.2 СМТ реперы]; VKM-SRC-030 p2 [§2]; VKM-SRC-037 p42 [§2.8, с.83]",ВКМКС (рудник не указан),MON-0332; MON-0339; MON-0340,EV-VN-S011-0300; EV-VN-S030-0019; EV-VN-S037-0344,METHOD/OPERATOR_PRIOR:2; VKM_ANALOGUE_ONLY:1,FACT:3,"профили Vp/Vs, γ, НК, кавернометрия по скважине — исходное (доработочное) состояние свойств и геометрия слоёв",HIGH:2; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),COMPLEX_MONITORING_SYSTEM,other,5,0,,SYSTEM_DESCRIPTION:3; CITED_DESCRIPTION:1; METHOD_PROPERTY:1,SPEC_OR_DESCRIPTION_ONLY:5,VKM-SRC-003; VKM-SRC-021; VKM-SRC-023; VKM-SRC-040,VKM_REGIONAL,VKM-SRC-003 p31 [§2.1; ссылка [8]]; VKM-SRC-021 p2 [введение]; VKM-SRC-023 p21 [rendered p.21; §1.3 (rendered p.20-; VKM-SRC-040 p139 [§5.2]; VKM-SRC-040 p140 [§5.2],ВКМКС (рудник не указан),MON-0450; MON-0454; MON-0458; MON-0461; MON-0462,EV-VN-S003-0105; EV-VN-S021-0015; EV-VN-S023-0060; EV-VN-S040-0352; EV-VN-S040-0355,METHOD/OPERATOR_PRIOR:5,FACT:5,перечень модальностей; конкретная связь — по каждой модальности,HIGH:3; MEDIUM:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),CONVERGENCE,convergence,2,0,,NORMATIVE_SPEC:1; METHOD_PROPERTY:1,SPEC_OR_DESCRIPTION_ONLY:2,VKM-SRC-034,VKM_REGIONAL,VKM-SRC-034 p1 [вводная часть]; VKM-SRC-034 p4 [вывод],ВКМКС (рудник не указан),MON-0278; MON-0279,EV-VN-S034-0004; EV-VN-S034-0040,METHOD/OPERATOR_PRIOR:2,FACT:2,сближение стенок/кровли-почвы камеры: u(стенка1) − u(стенка2); горизонтальная конвергенция камер,HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),DYNAMIC_EVENT_RECORDS,other,2,2,1968–1989,DATASET:2,TABLE_VALUES:2,VKM-SRC-037,VKM_REGIONAL,VKM-SRC-037 p80 [Табл. 5.1 (с.158–159)]; VKM-SRC-037 p81 [Табл. 5.2 (с.160)],ВКМКС (рудник не указан),MON-0423; MON-0424,EV-VN-S037-0508; EV-VN-S037-0514,VKM_ANALOGUE_ONLY:2,FACT:2,"дискретные события ГДЯ/обрушений (время, место, масса)",HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),GAS_VENTILATION,other,10,1,,SYSTEM_DESCRIPTION:4; NORMATIVE_SPEC:4; DATASET:1; LAB_OR_PHYSICAL_MODEL:1,SPEC_OR_DESCRIPTION_ONLY:8; TEXT_VALUES:1; TABLE_VALUES:1,VKM-SRC-011; VKM-SRC-020; VKM-SRC-028; VKM-SRC-037,UNSTATED; VKM_REGIONAL,"VKM-SRC-011 p98 [p.195]; VKM-SRC-020 p31 [§1.5]; VKM-SRC-020 p80 [§2.4]; VKM-SRC-020 p82 [§2.4]; VKM-SRC-020 p224 [§7.1; Рис. 7.2]; VKM-SRC-020 p230 [§7.1]; VKM-SRC-020 p247 [§7.1 (ПБ-2); Рис. 7.15]; VKM-SRC-028 p321 [§6.1, п.3.2]; VKM-SRC-037 p16 [Табл. 1.6, рудники БКПРУ-1, БКПРУ-2; VKM-SRC-037 p86 [§5.4 (с.171)]",ВКМКС (рудник не указан) || не указано,MON-0431; MON-0435; MON-0436; MON-0437; MON-0438; MON-0439; MON-0440; MON-0441; MON-0443; MON-0444,EV-VN-S011-1697; EV-VN-S020-0183; EV-VN-S020-0231; EV-VN-S020-0236; EV-VN-S020-0416; EV-VN-S020-0419; EV-VN-S020-0423; EV-VN-S028-0160; EV-VN-S037-0179; EV-VN-S037-0543,METHOD/OPERATOR_PRIOR:9; VKM_ANALOGUE_ONLY:1,FACT:10,"газовая/вентиляционная обстановка — операционные данные, вне деформационного состояния",HIGH:8; MEDIUM:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),GEOLOGICAL_INTERPRETATION,other,2,1,,SYSTEM_DESCRIPTION:1; DATASET:1,SPEC_OR_DESCRIPTION_ONLY:1; DESCRIPTION_ONLY:1,VKM-SRC-011,VKM_REGIONAL,VKM-SRC-011 p65 [Рис. 2.55]; VKM-SRC-011 p67 [Рис. 2.57],ВКМКС (рудник не указан),MON-0486; MON-0487,EV-VN-S011-1388; EV-VN-S011-1402,METHOD/OPERATOR_PRIOR:1; VKM_ANALOGUE_ONLY:1,INTERPOLATION:1; FACT:1,геологическая интерпретация (не мониторинг),MEDIUM:1; HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),GPR,gpr,19,12,,DATASET:12; PROPOSAL:3; DESIGN_SPEC:2; METHOD_PROPERTY:1; SYSTEM_DESCRIPTION:1,DESCRIPTION_ONLY:8; SPEC_OR_DESCRIPTION_ONLY:4; FIGURE_VALUES_DIGITIZED_APPROX:3; NO_DATA_PROPOSAL:3; TEXT_VALUES:1,VKM-SRC-015; VKM-SRC-040,VKM_REGIONAL,"VKM-SRC-015 p4 [§Методы; Рис. 1]; VKM-SRC-015 p5 [§Методы]; VKM-SRC-015 p5 [§Методы]; VKM-SRC-015 p5 [§Методы; обработка]; VKM-SRC-015 p6 [§Результаты опытно-методических рабо; VKM-SRC-015 p6 [§Результаты; рис. 2-4]; VKM-SRC-015 p6 [Рис. 2 (а, б, в)]; VKM-SRC-015 p7 [Рис. 3 (а, б, в)]; VKM-SRC-015 p7 [Рис. 4 (а, б, в)]; VKM-SRC-015 p8 [§Результаты]; VKM-SRC-015 p8 [§Результаты]; VKM-SRC-015 p8 [§Результаты; рис. 3]; VKM-SRC-015 p8 [§Результаты; рис. 4]; VKM-SRC-015 p12 [Заключение]; VKM-SRC-040 p7 [Введение, Практическая значимость п.; VKM-SRC-040 p98 [§3.3 p.98]; VKM-SRC-040 p98 [§3.3 p.98–100, Рис. 3.9–3.12]; VKM-SRC-040 p111 [§3.5 Георадиолокационные исследова; VKM-SRC-040 p145 [§5.4]",ВКМКС (рудник не указан),MON-0282; MON-0283; MON-0284; MON-0285; MON-0286; MON-0287; MON-0288; MON-0289; MON-0290; MON-0291; MON-0292; MON-0293; MON-0294; MON-0295; MON-0297; MON-0312; MON-0313; MON-0319; MON-0328,EV-VN-S015-0018; EV-VN-S015-0024; EV-VN-S015-0025; EV-VN-S015-0029; EV-VN-S015-0034; EV-VN-S015-0036; EV-VN-S015-0039; EV-VN-S015-0043; EV-VN-S015-0044; EV-VN-S015-0048; EV-VN-S015-0049; EV-VN-S015-0050; EV-VN-S015-0051; EV-VN-S015-0075; EV-VN-S040-0012; EV-VN-S040-0217; EV-VN-S040-0218; EV-VN-S040-0253; EV-VN-S040-0374,VKM_ANALOGUE_ONLY:12; METHOD/OPERATOR_PRIOR:4; NO:3,FACT:16; MODEL_CHOICE:2; ENGINEERING_ASSUMPTION:1,"геометрия границ (слои, выработки, пустоты, крепь) + ЭМ-свойства (ε_r→v, затухание; влажность/трещиноватость)",HIGH:13; MEDIUM:3; LOW:3,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),GRAVIMETRY_ELECTROMETRY,other,2,0,,CITED_DESCRIPTION:1; SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:2,VKM-SRC-011; VKM-SRC-040,VKM_REGIONAL,VKM-SRC-011 p30 [текст с.58]; VKM-SRC-040 p37 [§1.3.1],ВКМКС (рудник не указан),MON-0366; MON-0369,EV-VN-S011-0535; EV-VN-S040-0106,METHOD/OPERATOR_PRIOR:2,FACT:2,"Δg / ρ_к — косвенные признаки разуплотнения, обводнения ВЗТ; не смещение",HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),HORIZONTAL_DEFORMATION,horizontal_deformation,1,0,,NORMATIVE_SPEC:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-012,VKM_REGIONAL,VKM-SRC-012 p42 [§2.1],ВКМКС (рудник не указан),MON-0069,EV-VN-S012-0204,METHOD/OPERATOR_PRIOR:1,FACT:1,ε_xx = ΔL/L между соседними реперами; проекция u_h на ось линии,HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),HYDRO_REGIME,other,1,1,,DATASET:1,TEXT_VALUES:1,VKM-SRC-011,VKM_REGIONAL,VKM-SRC-011 p38 [текст с.74],ВКМКС (рудник не указан),MON-0426,EV-VN-S011-0701,VKM_ANALOGUE_ONLY:1,FACT:1,"уровни/притоки/химия вод — гидро-состояние, не смещение",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),INSAR,insar,20,6,2004–2021,DATASET:6; SYSTEM_DESCRIPTION:6; METHOD_PROPERTY:5; CITED_DESCRIPTION:3,SPEC_OR_DESCRIPTION_ONLY:14; TEXT_VALUES:2; FIGURE_VALUES_DIGITIZED_APPROX:2; DESCRIPTION_ONLY:1; TABLE_VALUES:1,VKM-SRC-001; VKM-SRC-002; VKM-SRC-003; VKM-SRC-005; VKM-SRC-023,UNSTATED; VKM_REGIONAL,"VKM-SRC-001 p9 [Использованные системы мониторинговы; VKM-SRC-001 p11 [текст с.11]; VKM-SRC-001 p12 [текст с.12]; VKM-SRC-001 p13 [текст с.13]; VKM-SRC-001 p15 [текст с.15]; VKM-SRC-001 p16 [Рис.6а]; VKM-SRC-001 p16 [Рис.6б]; VKM-SRC-002 p7 [слайд 7 'Построение интерферограмм' ; VKM-SRC-003 p5 [Введение, задача 1-2]; VKM-SRC-003 p6 [Введение, Методология]; VKM-SRC-003 p13 [§1.1]; VKM-SRC-003 p31 [§2.1 (стр.31-32)]; VKM-SRC-003 p32 [§2.1]; VKM-SRC-003 p33 [§2.2]; VKM-SRC-003 p35 [§2.2]; VKM-SRC-003 p36 [§2.2, шаг 12]; VKM-SRC-005 p1 [Введение, refs [1-3]]; VKM-SRC-023 p16 [rendered p.16; §1.2 (rendered p.16-; VKM-SRC-023 p22 [rendered p.22; §1.3]; VKM-SRC-023 p23 [rendered p.23; §1.3 (rendered p.22-","ВКМ (Березники по [11]); СКРУ-1 не указан || ВКМ (исследуемая область [10]; Березники); покрытие СКРУ-1 не указано || ВКМ (работы по Березникам; СКРУ-1 не охвачен/не указан) || ВКМКС (ОАО «Сильвинит»), пул проектов 2008–2010; рудник не указан || ВКМКС (рудник не указан) || ВКМКС, профильная линия XXVII, рудник не указан || ВКМКС, рудник и точка не указаны || не подписано (вероятно тот же город, что на слайдах 5–9) || солеотвалы «Сильвинит» (рудник не указан); НЕ оседание над выработками || территория ОАО «Сильвинит», г. Соликамск; рудник не указан (контекст рис.3 — СКРУ-1)",MON-0078; MON-0081; MON-0082; MON-0085; MON-0089; MON-0090; MON-0091; MON-0097; MON-0103; MON-0104; MON-0106; MON-0109; MON-0110; MON-0111; MON-0112; MON-0113; MON-0180; MON-0221; MON-0223; MON-0224,EV-VN-S001-0025; EV-VN-S001-0032; EV-VN-S001-0034; EV-VN-S001-0044; EV-VN-S001-0050; EV-VN-S001-0051; EV-VN-S001-0053; EV-VN-S002-0011; EV-VN-S003-0010; EV-VN-S003-0013; EV-VN-S003-0039; EV-VN-S003-0107; EV-VN-S003-0111; EV-VN-S003-0112; EV-VN-S003-0122; EV-VN-S003-0125; EV-VN-S005-0004; EV-VN-S023-0045; EV-VN-S023-0065; EV-VN-S023-0067,METHOD/OPERATOR_PRIOR:14; VKM_ANALOGUE_ONLY:5; DISCOVERY_ONLY:1,FACT:19; MODEL_CHOICE:1,u_LOS = u·ê_LOS относительно опорной точки и первой сцены (пиксель/PS); «субвертикальное» = u_LOS/cosθ при допущении u_h≈0,HIGH:16; MEDIUM:4,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),IN_SITU_TEST,other,1,1,,DATASET:1,TEXT_VALUES:1,VKM-SRC-037,UNSTATED,"VKM-SRC-037 p92 [§6.3, с. 181–182]",не указано,MON-0422,EV-VN-S037-0726,VKM_ANALOGUE_ONLY:1,FACT:1,локальное напряжение/хрупкость массива в точке испытания,MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),LAB_PROPERTY,lab_test,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-020,VKM_REGIONAL,VKM-SRC-020 p66 [§1.11],ВКМКС (рудник не указан),MON-0485,EV-VN-S020-0202,METHOD/OPERATOR_PRIOR:1,FACT:1,свойства образца (LAB ≠ MASSIF),MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),LEVELLING,levelling,9,3,1990–2023,NORMATIVE_SPEC:5; DATASET:3; SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:6; FIGURE_VALUES_DIGITIZED_APPROX:2; TEXT_VALUES:1,VKM-SRC-003; VKM-SRC-012; VKM-SRC-020; VKM-SRC-034; VKM-SRC-037,UNSTATED; VKM_REGIONAL,"VKM-SRC-003 p46 [§3.2 p.46]; VKM-SRC-012 p41 [§2.1]; VKM-SRC-012 p41 [§2.1 pp.41-42]; VKM-SRC-012 p42 [§2.1]; VKM-SRC-020 p127 [§3.6 п.4, с.127]; VKM-SRC-034 p2 [§ участок 2; рис. 4]; VKM-SRC-034 p4 [Рис. 3 (графики нарастания оседаний ; VKM-SRC-034 p4 [Рис. 4 (график оседания репера 98 во; VKM-SRC-037 p171 [Табл. 8.27; рис. 8.17]",ВКМКС (рудник не указан) || здания/сооружения ВКМ (стенные реперы) || конвейерные штреки калийных рудников (подземное нивелирование почвы) || участок 2 — рудник НЕ назван,MON-0007; MON-0015; MON-0016; MON-0017; MON-0044; MON-0048; MON-0050; MON-0051; MON-0052,EV-VN-S003-0170; EV-VN-S012-0199; EV-VN-S012-0200; EV-VN-S012-0203; EV-VN-S020-0312; EV-VN-S034-0026; EV-VN-S034-0036; EV-VN-S034-0037; EV-VN-S037-0995,METHOD/OPERATOR_PRIOR:6; VKM_ANALOGUE_ONLY:3,FACT:9,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",HIGH:5; MEDIUM:4,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),MINE_SURVEY_WORKINGS,other,3,0,,NORMATIVE_SPEC:2; SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:3,VKM-SRC-020; VKM-SRC-037,VKM_REGIONAL,"VKM-SRC-020 p106 [§3.1]; VKM-SRC-020 p127 [§3.6 п.4, с.127]; VKM-SRC-037 p190 [§8.7.2, с.379, рис. 8.30]",ВКМКС (рудник не указан),MON-0394; MON-0395; MON-0397,EV-VN-S020-0260; EV-VN-S020-0310; EV-VN-S037-1093,METHOD/OPERATOR_PRIOR:3,FACT:3,"фактическая геометрия выработок/пустот (ВХОД/форсинг мира, не состояние)",HIGH:3,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),OPERATIONAL_RECORDS,other,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-014,VKM_REGIONAL,"VKM-SRC-014 p42 [§2.3, Рис. 2.6]",ВКМКС (рудник не указан),MON-0447,EV-VN-S014-0392,METHOD/OPERATOR_PRIOR:1,FACT:1,операционные записи оборудования/производства — вне состояния массива,HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),OPTICAL_REMOTE_SENSING,other,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-018,VKM_REGIONAL,VKM-SRC-018 p2 [pp.2-3],ВКМКС (рудник не указан),MON-0393,EV-VN-S018-0011,METHOD/OPERATOR_PRIOR:1,FACT:1,"морфология поверхности (провалы, линеаменты), LST — не смещение",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),PROFILE_LINE_STATION,profile_line,5,0,,NORMATIVE_SPEC:4; METHOD_PROTOCOL:1,SPEC_OR_DESCRIPTION_ONLY:5,VKM-SRC-011; VKM-SRC-012; VKM-SRC-034,VKM_REGIONAL,VKM-SRC-011 p130 [стр. 259]; VKM-SRC-012 p41 [§2.1]; VKM-SRC-012 p41 [§2.1]; VKM-SRC-012 p42 [§2.1]; VKM-SRC-034 p1 [вводная часть],ВКМКС (рудник не указан) || шахтные поля «Сильвинит» и «Уралкалий» (7 участков сопоставления),MON-0054; MON-0057; MON-0058; MON-0059; MON-0066,EV-VN-S011-2085; EV-VN-S012-0196; EV-VN-S012-0197; EV-VN-S012-0202; EV-VN-S034-0003,METHOD/OPERATOR_PRIOR:5,FACT:5,"u_z и горизонтальная компонента вдоль линии (полная серия) в реперах через 20–50 м; производные: наклон, кривизна, ε",HIGH:5,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
ВКМКС регионально (рудник не указан),SEISMIC_MONITORING,seismic_monitoring,2,0,,CITED_DESCRIPTION:2,SPEC_OR_DESCRIPTION_ONLY:2,VKM-SRC-011; VKM-SRC-018,VKM_REGIONAL,"VKM-SRC-011 p30 [текст с.59]; VKM-SRC-018 p4 [p.4, [1]]",ВКМКС (рудник не указан),MON-0362; MON-0364,EV-VN-S011-0541; EV-VN-S018-0024,METHOD/OPERATOR_PRIOR:2,FACT:2,"каталог событий (время, место, энергия) — прокси процессов разрушения; не смещение",HIGH:1; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
